date,contract_preamble,expiry_date,daily_volume,mean,median,mode,skewness,kurtosis,variance
2024-06-27,U3-24JUN,2024-07-05,0,4.0173469387755105,4,4.1,0.1588785046728963,-0.8035557590727103,0.017148063306955386
2024-06-28,U3-24JUN,2024-07-05,531,4.011224489795919,4,4.1,0.09734513274336318,-0.9934822950122038,0.01834339858392332
2024-06-29,U3-24JUN,2024-07-05,114,4.011224489795919,4,4.1,0.09734513274336318,-0.9934822950122038,0.01834339858392332
2024-06-30,U3-24JUN,2024-07-05,174,4.001020408163265,4,4,0.00970873786407463,-0.8595371397535563,0.01744793835901703
2024-07-01,U3-24JUN,2024-07-05,1248,4.018367346938776,4,4.1,0.1607142857142859,-0.4855722876922295,0.02007080383173675
2024-07-02,U3-24JUN,2024-07-05,493,4.0193877551020405,4,4.1,0.17117117117117242,-0.4508412790042886,0.019726155768429798
2024-07-03,U3-24JUN,2024-07-05,4795,4.027551020408163,4,3.9000000000000004,0.22314049586776705,-0.7245519721725677,0.022200124947938316
2024-07-04,U3-24JUN,2024-07-05,2210,4.032653061224489,4,4.1,0.2622950819672127,-0.90135670671157,0.021178675551853376
2024-07-05,U3-24JUL,2024-08-02,1328,4.119387755102041,4.199999999999999,4.199999999999999,-1.0000000000000013,-0.6450728874872889,0.009726155768429801
2024-07-05,U3-24JUN,2024-07-05,572,4.021428571428571,4,4.1,0.2164948453608284,-0.6118863490304647,0.014540816326530618
2024-07-06,U3-24JUL,2024-08-02,260,4.123469387755102,4.199999999999999,4.199999999999999,-0.9036144578313312,-0.6392060708063956,0.010775718450645537
2024-07-07,U3-24JUL,2024-08-02,27,4.123469387755102,4.199999999999999,4.199999999999999,-0.9036144578313312,-0.6392060708063956,0.010775718450645537
2024-07-08,U3-24JUL,2024-08-02,35,4.1408163265306115,4.199999999999999,4,-0.48333333333333445,-1.2562318276750715,0.019762598917117815
2024-07-09,U3-24JUL,2024-08-02,3532,4.1316326530612235,4.199999999999999,4.199999999999999,-0.6261682242990607,-1.05915262903347,0.017060599750104082
2024-07-10,U3-24JUL,2024-08-02,3762,4.1316326530612235,4.1,4,0.3131313131313163,-0.941664579071154,0.013795293627655103
2024-07-11,U3-24JUL,2024-08-02,1525,4.130612244897959,4.1,4,0.30612244897959384,-0.921447214694592,0.013756768013327737
2024-07-12,U3-24JUL,2024-08-02,200,4.1295918367346935,4.1,4,0.2929292929292936,-0.9450474468531347,0.013920241566014119
